name,rank_custom,rank_bangumi,subjectname
9406,483,605,视线之外
7883,484,437,女仆咖啡厅
195249,485,497,避难所
1451,486,432,东之伊甸
165738,487,668,悠哉日常大王 Repeat OAD
2972,488,430,名侦探柯南 贝克街的亡灵
2882,489,529,青之文学
186881,490,403,马男波杰克3
885,491,391,食灵-零-
20961,492,1310,少年科学俱乐部
36271,493,505,棋魂～通往北斗之路～
37745,494,663,宇宙战舰大和号2199 第一章「踏上遥远的征途」
10388,495,720,福星小子
3499,496,1017,机动警察 十三号废弃物
919,497,573,道子与哈金
61534,498,256,JOJO的奇妙冒险 幻影血脉
4635,499,908,银河天使Z
49315,500,353,东方活动写真馆
442,501,772,大雄与铁人兵团
19051,502,540,佛兰德斯的狗
1898,503,748,苍之茧
1606,504,300,凉宫春日的忧郁 2009
39530,505,967,新机动战记高达W 无尽的华尔兹
312,506,344,哈尔的移动城堡
2889,507,786,棒球大联盟 第五季
10597,508,1454,猫眼女枪手
10402,509,954,圣战士登拜因
382,510,422,萤火虫之墓
751,511,330,葫芦兄弟
282,512,367,狼与香辛料
1321,513,336,圣母在上 第4季
10385,514,297,TIGER & BUNNY
503,515,726,我的邻居山田君
2712,516,396,浪客剑心
2049,517,515,他和她的故事
141852,518,686,咱们裸熊
2898,519,479,×××HOLiC 春梦记
35632,520,467,小蝌蚪找妈妈
103906,521,461,心理测量者 新编集版
4274,522,586,壳中少女 压缩
25833,523,361,魔法少女小圆 剧场版 [前篇] 起始的物语
3188,524,846,奇幻旅程
181354,525,486,齐木楠雄的灾难
3555,526,978,剧场版∀高达II 月光蝶
151345,527,683,机动战士高达 雷霆宙域
1890,528,462,最终幻想VII：降临之子
50596,529,1364,骑乘挑战
18882,530,488,幻想嘉年华
110239,531,612,昭和元禄落语心中 OAD
2531,532,576,空中秋千
11784,533,596,On Your Mark
3275,534,331,降世神通：最后的气宗 第一季
4046,535,792,危险调查员
330,536,429,向阳素描×365
93044,537,709,冰雪奇缘
3819,538,457,阿凡提的故事
88562,539,914,第一届东方M-1漫才大赛
53984,540,570,恶魔阿萨谢尔在召唤你Z
44690,541,577,壳中少女 燃烧
274,542,380,Kanon
3622,543,447,向阳素描×☆☆☆
439,544,1020,大雄的魔界大冒险
2772,545,742,新机动战记高达W 无尽的华尔兹 剧场版
1969,546,459,奔向地球
8474,547,417,放浪男孩
917,548,700,亡念之扎姆德
174584,549,567,Flip Flappers
